cohort,course,title,status,modules,days,contact_hours,mode,venue,place,session_hours,start,end,enrol_open,nominate_by,assess_by,holidays,rate_per_day,fee,currency,folder
12-ACC-2705,Course 12,Microsimulation,Available,1,5,30,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-05-03,2027-05-10,2027-03-08,2027-04-05,2027-05-24,03 May May Day (observed),200,1000,USD,12_Micro_Simulation
13-VEA-2705,Course 13,"Monitoring, Evaluation and Learning",Available,8,10,60,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-05-03,2027-05-14,2027-03-08,2027-04-05,2027-05-28,,80,800,USD,13_MEL
03-ACC-2705,Course 03,Public Investment,Available,12,10,60,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-05-17,2027-05-31,2027-03-22,2027-04-19,2027-06-14,17 May Eid al-Adha (subject to sighting),200,2000,USD,03_Public_Investment
02-VWA-2705,Course 02,Economic Modelling,Available,7,10,60,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-05-17,2027-05-31,2027-03-22,2027-04-19,2027-06-14,17 May Eid al-Adha (subject to sighting),80,800,USD,02_Economic_Modelling
09-VEA-2705,Course 09,Energy Modelling,Available,1,6,36,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-05-31,2027-06-08,2027-04-05,2027-05-03,2027-06-22,01 Jun Madaraka Day,80,480,USD,09_Energy_Modelling
07-NBO-2706,Course 07,Education Modelling,Available,1,6,36,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-06-07,2027-06-14,2027-04-12,2027-05-10,2027-06-28,,200,1200,USD,07_Education_Modelling
10-VWA-2706,Course 10,Transport and Water Modelling,Available,2,7,42,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-06-14,2027-06-22,2027-04-19,2027-05-17,2027-07-06,,80,560,USD,10_Transport_Water_Modelling
08-ACC-2706,Course 08,Health Modelling,Available,1,6,36,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-06-21,2027-06-28,2027-04-26,2027-05-24,2027-07-12,,200,1200,USD,08_Health_Modelling
12-VEA-2706,Course 12,Microsimulation,Available,1,5,30,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-06-28,2027-07-02,2027-05-03,2027-05-31,2027-07-16,,80,400,USD,12_Micro_Simulation
06-NBO-2707,Course 06,"Agriculture, Forestry and Fisheries Modelling",Available,2,7,42,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-07-05,2027-07-13,2027-05-10,2027-06-07,2027-07-27,,200,1400,USD,06_Agriculture_Forestry_Fish_Modelling
05-ACC-2707,Course 05,Trade Modelling,Available,2,6,36,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-07-19,2027-07-26,2027-05-24,2027-06-21,2027-08-09,,200,1200,USD,05_Trade_Modelling
14-VEA-2707,Course 14,Executive Programmes,In development,8,5,30,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-07-26,2027-07-30,2027-05-31,2027-06-28,2027-08-13,,80,400,USD,14_Executive_Programmes
04-NBO-2708,Course 04,Climate Modelling,Available,10,10,60,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-08-16,2027-08-27,2027-06-21,2027-07-19,2027-09-10,,200,2000,USD,04_Climate_Modelling
07-VEA-2708,Course 07,Education Modelling,Available,1,6,36,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-08-16,2027-08-23,2027-06-21,2027-07-19,2027-09-06,,80,480,USD,07_Education_Modelling
03-VWA-2708,Course 03,Public Investment,Available,12,10,60,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-08-16,2027-08-27,2027-06-21,2027-07-19,2027-09-10,,80,800,USD,03_Public_Investment
08-VWA-2708,Course 08,Health Modelling,Available,1,6,36,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-08-30,2027-09-06,2027-07-05,2027-08-02,2027-09-20,,80,480,USD,08_Health_Modelling
01-ACC-2709,Course 01,Macroeconomics and Public Finance,Available,7,10,60,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-09-06,2027-09-17,2027-07-12,2027-08-09,2027-10-01,,200,2000,USD,01_Macroeconomics_Public_Finance
06-VEA-2709,Course 06,"Agriculture, Forestry and Fisheries Modelling",Available,2,7,42,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-09-06,2027-09-14,2027-07-12,2027-08-09,2027-09-28,,80,560,USD,06_Agriculture_Forestry_Fish_Modelling
05-VWA-2709,Course 05,Trade Modelling,Available,2,6,36,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-09-20,2027-09-28,2027-07-26,2027-08-23,2027-10-12,21 Sep Kwame Nkrumah Memorial Day,80,480,USD,05_Trade_Modelling
11-NBO-2709,Course 11,Industry Modelling,In development,3,7,42,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-09-27,2027-10-05,2027-08-02,2027-08-30,2027-10-19,,200,1400,USD,11_Industry_Modelling
04-VEA-2710,Course 04,Climate Modelling,Available,10,10,60,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-10-04,2027-10-18,2027-08-09,2027-09-06,2027-11-01,11 Oct Mazingira Day (observed),80,800,USD,04_Climate_Modelling
13-NBO-2710,Course 13,"Monitoring, Evaluation and Learning",Available,8,10,60,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-10-11,2027-10-26,2027-08-16,2027-09-13,2027-11-09,11 Oct Mazingira Day (observed); 20 Oct Mashujaa Day,200,2000,USD,13_MEL
01-VEA-2710,Course 01,Macroeconomics and Public Finance,Available,7,10,60,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-10-25,2027-11-05,2027-08-30,2027-09-27,2027-11-19,,80,800,USD,01_Macroeconomics_Public_Finance
11-VWA-2710,Course 11,Industry Modelling,In development,3,7,42,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-10-25,2027-11-02,2027-08-30,2027-09-27,2027-11-16,,80,560,USD,11_Industry_Modelling
02-ACC-2711,Course 02,Economic Modelling,Available,7,10,60,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-11-01,2027-11-12,2027-09-06,2027-10-04,2027-11-26,,200,2000,USD,02_Economic_Modelling
13-VWA-2711,Course 13,"Monitoring, Evaluation and Learning",Available,8,10,60,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-11-08,2027-11-19,2027-09-13,2027-10-11,2027-12-03,,80,800,USD,13_MEL
09-NBO-2711,Course 09,Energy Modelling,Available,1,6,36,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2027-11-22,2027-11-29,2027-09-27,2027-10-25,2027-12-13,,200,1200,USD,09_Energy_Modelling
14-VWA-2711,Course 14,Executive Programmes,In development,8,5,30,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2027-11-22,2027-11-26,2027-09-27,2027-10-25,2027-12-10,,80,400,USD,14_Executive_Programmes
02-VEA-2711,Course 02,Economic Modelling,Available,7,10,60,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2027-11-29,2027-12-10,2027-10-04,2027-11-01,2027-12-24,,80,800,USD,02_Economic_Modelling
10-ACC-2712,Course 10,Transport and Water Modelling,Available,2,7,42,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2027-12-06,2027-12-14,2027-10-11,2027-11-08,2027-12-28,,200,1400,USD,10_Transport_Water_Modelling
14-ACC-2801,Course 14,Executive Programmes,In development,8,5,30,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2028-01-03,2028-01-10,2027-11-08,2027-12-06,2028-01-24,07 Jan Constitution Day,200,1000,USD,14_Executive_Programmes
10-VEA-2801,Course 10,Transport and Water Modelling,Available,2,7,42,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2028-01-03,2028-01-11,2027-11-08,2027-12-06,2028-01-25,,80,560,USD,10_Transport_Water_Modelling
09-VWA-2801,Course 09,Energy Modelling,Available,1,6,36,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2028-01-03,2028-01-11,2027-11-08,2027-12-06,2028-01-25,07 Jan Constitution Day,80,480,USD,09_Energy_Modelling
12-NBO-2801,Course 12,Microsimulation,Available,1,5,30,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2028-01-17,2028-01-21,2027-11-22,2027-12-20,2028-02-04,,200,1000,USD,12_Micro_Simulation
11-VEA-2801,Course 11,Industry Modelling,In development,3,7,42,Live virtual,Virtual - East Africa time,"Online - EDIS laboratory, East Africa time (UTC+3)",09:00-15:00 EAT,2028-01-17,2028-01-25,2027-11-22,2027-12-20,2028-02-08,,80,560,USD,11_Industry_Modelling
03-NBO-2801,Course 03,Public Investment,Available,12,10,60,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2028-01-31,2028-02-11,2027-12-06,2028-01-03,2028-02-25,,200,2000,USD,03_Public_Investment
12-VWA-2802,Course 12,Microsimulation,Available,1,5,30,Live virtual,Virtual - West Africa time,"Online - EDIS laboratory, West Africa time (UTC+0)",09:00-15:00 GMT,2028-02-14,2028-02-18,2027-12-20,2028-01-17,2028-03-03,,80,400,USD,12_Micro_Simulation
07-ACC-2802,Course 07,Education Modelling,Available,1,6,36,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2028-02-21,2028-02-28,2027-12-27,2028-01-24,2028-03-13,,200,1200,USD,07_Education_Modelling
11-ACC-2803,Course 11,Industry Modelling,In development,3,7,42,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2028-03-06,2028-03-15,2028-01-10,2028-02-07,2028-03-29,06 Mar Independence Day,200,1400,USD,11_Industry_Modelling
08-NBO-2803,Course 08,Health Modelling,Available,1,6,36,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2028-03-20,2028-03-27,2028-01-24,2028-02-21,2028-04-10,,200,1200,USD,08_Health_Modelling
06-ACC-2804,Course 06,"Agriculture, Forestry and Fisheries Modelling",Available,2,7,42,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2028-04-03,2028-04-11,2028-02-07,2028-03-06,2028-04-25,,200,1400,USD,06_Agriculture_Forestry_Fish_Modelling
05-NBO-2804,Course 05,Trade Modelling,Available,2,6,36,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2028-04-24,2028-05-02,2028-02-28,2028-03-27,2028-05-16,01 May Labour Day,200,1200,USD,05_Trade_Modelling
04-ACC-2805,Course 04,Climate Modelling,Available,10,10,60,In person,Accra,"Accra, Ghana - EDIS regional hub",08:30-15:30 GMT,2028-05-08,2028-05-19,2028-03-13,2028-04-10,2028-06-02,,200,2000,USD,04_Climate_Modelling
14-NBO-2805,Course 14,Executive Programmes,In development,8,5,30,In person,Nairobi,"Nairobi, Kenya - EDIS regional hub",08:30-15:30 EAT,2028-05-29,2028-06-02,2028-04-03,2028-05-01,2028-06-16,,200,1000,USD,14_Executive_Programmes
